id,text
1933461737690501583,"RT @BBU_BLACKPINK: #BLACKPINK [DEADLINE] WORLD TOUR in BANGKOK and HONG KONG are now officially SOLD OUT!

Rajamangala National Stadium 🇹🇭…"
1933461713321656762,"RT @peony_fay: 🦖 : White Rabbit ก็ ผมสัญญากับเค้าไว้ว่าถ้าผมกดบัตร Blackpink ได้ผมจะสปอย

“ก็ต่อให้ฉันเป็นเสือก็คง ยอมเป็นเหยื่อให้เธอทำตาม…"
1933461708728905858,"BLACKPINK ブルピン 2025 WORLD TOUR チケット 讓渡 買取 交換 当落
重複した為お譲り致します。

譲　1/16 東京ドーム スタンドS2 2連 FC1次

求　定価+手数料〜
できるだけ早く入金可能な方

お心当たりのある方dm、リプまでお願いします。"
1933461705511645324,"RT @gnrnewsbrasil: O homem ouve K-Pop. Axl Rose em Barcelona usando uma camiseta da Lisa, integrante do grupo BlackPink https://t.co/8Nsux5…"
1933461698742268294,"RT @bonapony: มีใครที่เป็นบลิ๊งค์จริงๆ แล้วกดเองไม่ได้ไหมคะ
มารวมกันตรงนี้หน่อยค่ะ #BLACKPINK  #DEADLINE_IN_BANGKOK"
1933461697966301615,RT @GuuMdark: เดี๋ยวนะ  thaiticket ทำไมผมก็ไม่ได้ซักคอน กด blackpink มาตั้งแต่วันแรก ก็ไม่ได้เลย วันนี้เอะใจลองกดคอนอื่นดู ที่ว่างเยอะมาก…
1933461697018409010,RT @yk2aii: Dancers from Los Angeles confirm that they will be joining #BLACKPINK's Deadline tour. https://t.co/upskwnBboN
1933461691804889394,"RT @s_010102: ❗️โดนโกงบัตร #DEADLINE_IN_BANGKOK 
อะคือสรุปมหากาพย์อี่เจ๊ที่โกงเงินค่าคอน 
-มันไปดูดรูปคนที่มันโกงมาแล้วเพื่อที่จะมาโกงคนอื่…"
1933461682598392148,"RT @BabyBlack_twt: แรงมากกก บัตร #DEADLINE_IN_BANGKOK หมดแล้ว !!! ราชมัง 3 รอบยังไม่พอกับความดังของควีนหัวนม 🖤💗

ใครยังสนใจซื้อบัตร สามารถไ…"
1933461679381361013,"Wts lfb
2025 BLACKPINK World Tour in BANGKOK 
Rajamangala Stadium 📍

Tickets available 
✅BLACK PIT Package 

Foreigners too pls
Dm me if interested♥️
#BLACKPINKinBKK #BLACKPINKinBANGKOK #DEADLINE_IN_BANGKOK https://t.co/J2s3zXx4WH"
1933461677795914023,"RT @WBP1327__: แสดงว่ายังมีกั๊กเอาไว้อีกหรอ คืออาศัยจังหวะชุลมุนเวอร์ แต่ถ้ามฃใครยังไม่ได้ก็สู้อีกสักตั้งดูงีบ สู้ไปด่าไป 

#DEADLINE_IN_BA…"
